#Energy	tdos
-30.51389	0
-30.50089	0
-30.48789	0
-30.47489	0
-30.46189	0.00001
-30.44889	0.00004
-30.43589	0.00012
-30.42289	0.00031
-30.41089	0.00069
-30.39789	0.00141
-30.38489	0.00264
-30.37189	0.00459
-30.35889	0.00755
-30.34589	0.0118
-30.33289	0.01757
-30.31989	0.02475
-30.30689	0.0328
-30.29389	0.04081
-30.28089	0.04814
-30.26889	0.055
-30.25589	0.0627
-30.24289	0.07315
-30.22989	0.08793
-30.21689	0.1076
-30.20389	0.1316
-30.19089	0.1586
-30.17789	0.1873
-30.16489	0.216
-30.15189	0.2424
-30.13889	0.2624
-30.12589	0.2705
-30.11389	0.2618
-30.10089	0.235
-30.08789	0.1933
-30.07489	0.1446
-30.06189	0.0976
-30.04889	0.05914
-30.03589	0.03204
-30.02289	0.01546
-30.00989	0.00663
-29.99689	0.00252
-29.98389	0.00085
-29.97189	0.00025
-29.95889	0.00007
-29.94589	0.00002
-29.93289	0
-29.91989	0
-29.90689	0
-29.89389	0
-29.88089	0
-29.86789	0
-29.85489	0
-29.84189	0
-29.82889	0
-29.81689	0
-29.80389	0
-29.79089	0
-29.77789	0
-29.76489	0
-29.75189	0
-29.73889	0
-29.72589	0
-29.71289	0
-29.69989	0
-29.68689	0
-29.67489	0
-29.66189	0
-29.64889	0
-29.63589	0
-29.62289	0
-29.60989	0
-29.59689	0
-29.58389	0
-29.57089	0
-29.55789	0
-29.54489	0
-29.53189	0
-29.51989	0
-29.50689	0
-29.49389	0
-29.48089	0
-29.46789	0
-29.45489	0
-29.44189	0
-29.42889	0
-29.41589	0
-29.40289	0
-29.38989	0
-29.37789	0
-29.36489	0
-29.35189	0
-29.33889	0
-29.32589	0
-29.31289	0
-29.29989	0
-29.28689	0
-29.27389	0
-29.26089	0
-29.24789	0
-29.23489	0
-29.22289	0
-29.20989	0
-29.19689	0
-29.18389	0
-29.17089	0
-29.15789	0
-29.14489	0
-29.13189	0
-29.11889	0
-29.10589	0
-29.09289	0
-29.08089	0
-29.06789	0
-29.05489	0
-29.04189	0
-29.02889	0
-29.01589	0
-29.00289	0
-28.98989	0
-28.97689	0
-28.96389	0
-28.95089	0
-28.93789	0
-28.92589	0
-28.91289	0
-28.89989	0
-28.88689	0
-28.87389	0
-28.86089	0
-28.84789	0
-28.83489	0
-28.82189	0
-28.80889	0
-28.79589	0
-28.78389	0
-28.77089	0
-28.75789	0
-28.74489	0
-28.73189	0
-28.71889	0
-28.70589	0
-28.69289	0
-28.67989	0
-28.66689	0
-28.65389	0
-28.64089	0
-28.62889	0
-28.61589	0
-28.60289	0
-28.58989	0
-28.57689	0
-28.56389	0
-28.55089	0
-28.53789	0
-28.52489	0
-28.51189	0
-28.49889	0
-28.48689	0
-28.47389	0
-28.46089	0
-28.44789	0
-28.43489	0
-28.42189	0
-28.40889	0
-28.39589	0
-28.38289	0
-28.36989	0
-28.35689	0
-28.34389	0
-28.33189	0
-28.31889	0
-28.30589	0
-28.29289	0
-28.27989	0
-28.26689	0
-28.25389	0
-28.24089	0
-28.22789	0
-28.21489	0
-28.20189	0
-28.18989	0
-28.17689	0
-28.16389	0
-28.15089	0
-28.13789	0
-28.12489	0
-28.11189	0
-28.09889	0
-28.08589	0
-28.07289	0
-28.05989	0
-28.04689	0
-28.03489	0
-28.02189	0
-28.00889	0
-27.99589	0
-27.98289	0
-27.96989	0
-27.95689	0
-27.94389	0
-27.93089	0
-27.91789	0
-27.90489	0
-27.89289	0
-27.87989	0
-27.86689	0
-27.85389	0
-27.84089	0
-27.82789	0
-27.81489	0
-27.80189	0
-27.78889	0
-27.77589	0
-27.76289	0
-27.74989	0
-27.73789	0
-27.72489	0
-27.71189	0
-27.69889	0
-27.68589	0
-27.67289	0
-27.65989	0
-27.64689	0
-27.63389	0
-27.62089	0
-27.60789	0
-27.59489	0
-27.58289	0
-27.56989	0
-27.55689	0
-27.54389	0
-27.53089	0
-27.51789	0
-27.50489	0
-27.49189	0
-27.47889	0
-27.46589	0
-27.45289	0
-27.44089	0
-27.42789	0
-27.41489	0
-27.40189	0
-27.38889	0
-27.37589	0
-27.36289	0
-27.34989	0
-27.33689	0
-27.32389	0
-27.31089	0
-27.29789	0
-27.28589	0
-27.27289	0
-27.25989	0
-27.24689	0
-27.23389	0
-27.22089	0
-27.20789	0
-27.19489	0
-27.18189	0
-27.16889	0
-27.15589	0
-27.14389	0
-27.13089	0
-27.11789	0
-27.10489	0
-27.09189	0
-27.07889	0
-27.06589	0
-27.05289	0
-27.03989	0
-27.02689	0
-27.01389	0
-27.00089	0
-26.98889	0
-26.97589	0
-26.96289	0
-26.94989	0
-26.93689	0
-26.92389	0
-26.91089	0
-26.89789	0
-26.88489	0
-26.87189	0
-26.85889	0
-26.84689	0
-26.83389	0
-26.82089	0
-26.80789	0
-26.79489	0
-26.78189	0
-26.76889	0
-26.75589	0
-26.74289	0
-26.72989	0
-26.71689	0
-26.70389	0
-26.69189	0
-26.67889	0
-26.66589	0
-26.65289	0
-26.63989	0
-26.62689	0
-26.61389	0
-26.60089	0
-26.58789	0
-26.57489	0
-26.56189	0
-26.54989	0
-26.53689	0
-26.52389	0
-26.51089	0
-26.49789	0
-26.48489	0
-26.47189	0
-26.45889	0
-26.44589	0
-26.43289	0
-26.41989	0
-26.40689	0
-26.39489	0
-26.38189	0
-26.36889	0
-26.35589	0
-26.34289	0
-26.32989	0
