#Energy	tdos
-29.31629	0
-29.30329	0
-29.29029	0
-29.27729	0
-29.26429	0
-29.25129	0
-29.23829	0
-29.22629	0
-29.21329	0
-29.20029	0
-29.18729	0
-29.17429	0
-29.16129	0
-29.14829	0
-29.13529	0
-29.12329	0
-29.11029	0
-29.09729	0
-29.08429	0
-29.07129	0
-29.05829	0
-29.04529	0
-29.03229	0
-29.01929	0
-29.00729	0
-28.99429	0
-28.98129	0
-28.96829	0
-28.95529	0
-28.94229	0
-28.92929	0
-28.91629	0
-28.90329	0
-28.89129	0
-28.87829	0
-28.86529	0
-28.85229	0
-28.83929	0
-28.82629	0
-28.81329	0
-28.80029	0
-28.78729	0
-28.77529	0
-28.76229	0
-28.74929	0
-28.73629	0
-28.72329	0
-28.71029	0
-28.69729	0
-28.68429	0
-28.67129	0
-28.65929	0
-28.64629	0
-28.63329	0
-28.62029	0
-28.60729	0
-28.59429	0
-28.58129	0
-28.56829	0
-28.55629	0
-28.54329	0
-28.53029	0
-28.51729	0
-28.50429	0
-28.49129	0
-28.47829	0
-28.46529	0
-28.45229	0
-28.44029	0
-28.42729	0
-28.41429	0
-28.40129	0
-28.38829	0
-28.37529	0
-28.36229	0
-28.34929	0
-28.33629	0
-28.32429	0
-28.31129	0
-28.29829	0
-28.28529	0
-28.27229	0
-28.25929	0
-28.24629	0
-28.23329	0
-28.22029	0
-28.20829	0
-28.19529	0
-28.18229	0
-28.16929	0
-28.15629	0
-28.14329	0
-28.13029	0
-28.11729	0
-28.10529	0
-28.09229	0
-28.07929	0
-28.06629	0
-28.05329	0
-28.04029	0
-28.02729	0
-28.01429	0
-28.00129	0
-27.98929	0
-27.97629	0
-27.96329	0
-27.95029	0
-27.93729	0
-27.92429	0
-27.91129	0
-27.89829	0
-27.88529	0
-27.87329	0
-27.86029	0
-27.84729	0
-27.83429	0
-27.82129	0
-27.80829	0
-27.79529	0
-27.78229	0
-27.76929	0
-27.75729	0
-27.74429	0
-27.73129	0
-27.71829	0
-27.70529	0
-27.69229	0
-27.67929	0
-27.66629	0
